Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1736209936,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1736209937,1,,Aggregated,0.000000,0.000000,230,230,240,240,240,240,240,240,240,240,240,4,0,220.0,227.4222539999755,215.91819600143936,240.45890100387624,215.0
1736209938,2,,Aggregated,0.000000,0.000000,370,430,450,450,480,480,480,480,480,480,480,8,0,240.0,330.14236974941014,215.91819600143936,484.1937710007187,215.0
1736209939,3,,Aggregated,0.000000,0.000000,450,480,660,660,710,760,760,760,760,760,760,12,0,430.0,440.4656677488674,215.91819600143936,760.8283469962771,215.0
1736209940,4,,Aggregated,4.000000,0.000000,520,710,820,820,900,1000,1000,1000,1000,1000,1000,16,0,480.0,555.6549871866991,215.91819600143936,1030.6704940012423,215.0
1736209941,5,,Aggregated,4.000000,0.000000,660,820,900,990,1200,1300,1300,1300,1300,1300,1300,19,0,660.0,652.5223325784042,215.91819600143936,1290.1699409994762,215.0
1736209942,6,,Aggregated,3.750000,0.000000,760,900,1000,1100,1200,1300,1300,1300,1300,1300,1300,22,0,710.0,720.8585687271393,215.91819600143936,1290.1699409994762,215.0
1736209943,7,,Aggregated,3.600000,0.000000,860,1100,1100,1200,1500,1500,1900,1900,1900,1900,1900,26,0,820.0,840.3369414616184,215.91819600143936,1887.2636150044855,215.0
1736209944,8,,Aggregated,3.600000,0.000000,900,1100,1300,1500,1800,1900,2200,2200,2200,2200,2200,29,0,900.0,941.4288920349369,215.91819600143936,2205.8869460015558,215.0
1736209945,9,,Aggregated,3.500000,0.000000,1100,1300,1500,1800,1900,2200,2200,2200,2200,2200,2200,34,0,1000.0,1080.2301878536716,215.91819600143936,2222.391298004368,215.0
1736209946,10,,Aggregated,3.571429,0.000000,1100,1500,1700,1800,1900,2200,2200,2200,2200,2200,2200,37,0,1100.0,1146.8819634061908,215.91819600143936,2222.391298004368,215.0
1736209947,11,,Aggregated,3.625000,0.000000,1200,1700,1800,1900,2200,2200,2900,2900,2900,2900,2900,41,0,1200.0,1261.8916522444968,215.91819600143936,2906.308134995925,215.0
1736209948,12,,Aggregated,3.777778,0.000000,1300,1800,1900,2100,2400,2400,3000,3000,3000,3000,3000,44,0,1300.0,1355.5682102733872,215.91819600143936,3040.9214870014694,215.0
1736209949,13,,Aggregated,3.700000,0.000000,1500,1900,2200,2200,2500,3000,3200,3200,3200,3200,3200,49,0,1500.0,1485.2533882251603,215.91819600143936,3164.8721550009213,215.0
