Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1736213678,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1736213679,1,,Aggregated,0.000000,0.000000,470,470,470,470,470,470,470,470,470,470,470,2,0,410.0,440.6256799993571,408.6745160020655,472.5768439966487,215.0
1736213680,2,,Aggregated,0.000000,0.000000,470,630,630,700,700,700,700,700,700,700,700,5,0,470.0,520.3929361974588,387.4827249965165,703.2131390005816,215.0
1736213681,3,,Aggregated,0.000000,0.000000,630,700,700,700,730,730,730,730,730,730,730,7,0,630.0,575.9822652845677,387.4827249965165,734.2937899957178,215.0
1736213682,4,,Aggregated,1.000000,0.000000,700,730,1100,1100,1100,1100,1100,1100,1100,1100,1100,10,0,700.0,727.5232718980988,387.4827249965165,1089.3946430005599,215.0
1736213683,5,,Aggregated,1.666667,0.000000,730,1100,1100,1200,1400,1500,1500,1500,1500,1500,1500,13,0,730.0,873.6559021523974,387.4827249965165,1483.6803049984155,215.0
1736213684,6,,Aggregated,2.000000,0.000000,1100,1200,1500,1500,1600,1800,1800,1800,1800,1800,1800,16,0,1100.0,1015.9933340610223,387.4827249965165,1824.1030299977865,215.0
1736213685,7,,Aggregated,2.200000,0.000000,1100,1400,1500,1600,1800,1800,1800,1800,1800,1800,1800,18,0,1100.0,1105.3962209431727,387.4827249965165,1830.7936450000852,215.0
1736213686,8,,Aggregated,2.166667,0.000000,1200,1500,1800,1800,2100,2200,2200,2200,2200,2200,2200,21,0,1200.0,1254.296579141824,387.4827249965165,2195.6284510088153,215.0
1736213687,9,,Aggregated,2.285714,0.000000,1500,1800,2100,2200,2200,2600,2600,2600,2600,2600,2600,24,0,1400.0,1405.0291015403975,387.4827249965165,2617.051573994104,215.0
1736213688,10,,Aggregated,2.375000,0.000000,1500,1800,2200,2200,2600,2600,2700,2700,2700,2700,2700,26,0,1500.0,1500.1769613837287,387.4827249965165,2671.2300079962006,215.0
1736213689,11,,Aggregated,2.333333,0.000000,1600,2200,2200,2600,2900,3000,3000,3000,3000,3000,3000,29,0,1600.0,1652.8004769994557,387.4827249965165,2992.0298109936994,215.0
1736213690,12,,Aggregated,2.400000,0.000000,1800,2200,2600,2700,3000,3300,3300,3300,3300,3300,3300,32,0,1800.0,1800.8971880308309,387.4827249965165,3311.550090002129,215.0
1736213691,13,,Aggregated,2.700000,0.000000,1800,2600,2700,3000,3300,3600,3600,3600,3600,3600,3600,37,0,1800.0,1861.5032621349421,377.81904300209135,3621.839398998418,215.0
1736213692,14,,Aggregated,2.800000,0.000000,1800,2600,2900,3000,3300,3600,3600,3600,3600,3600,3600,42,0,1800.0,1850.572949690104,371.200117006083,3649.1297189932084,215.0
1736213693,15,,Aggregated,2.700000,0.000000,1800,2600,3000,3300,3600,4000,4000,4000,4000,4000,4000,48,0,1800.0,1917.2664443746423,371.200117006083,3999.945805990137,215.0
1736213694,16,,Aggregated,2.900000,0.000000,1800,2600,3100,3300,4000,4100,4400,4400,4400,4400,4400,53,0,1800.0,2019.941494433607,371.200117006083,4384.404055992491,215.0
1736213695,17,,Aggregated,3.200000,0.000000,1800,2700,3300,3600,4100,4400,4400,4400,4400,4400,4400,59,0,1800.0,2102.8547955933914,371.200117006083,4404.237738010124,215.0
1736213696,18,,Aggregated,3.600000,0.000000,1800,2900,3300,3600,4400,4400,4400,4400,4400,4400,4400,64,0,1800.0,2145.559528093827,371.200117006083,4427.624535004725,215.0
1736213697,19,,Aggregated,3.800000,0.000000,1800,3000,3600,4000,4400,4400,4400,4400,4400,4400,4400,70,0,1800.0,2223.962784500327,371.200117006083,4433.062140000402,215.0
1736213698,20,,Aggregated,4.100000,0.000000,2100,3000,3600,4000,4400,4400,4400,4400,4400,4400,4400,76,0,2000.0,2304.593067329207,371.200117006083,4436.164633996668,215.0
1736213699,20,,Aggregated,4.500000,0.000000,2100,3100,3600,4100,4400,4400,4400,4400,4400,4400,4400,82,0,2100.0,2380.3960344274656,371.200117006083,4436.164633996668,215.0
1736213700,20,,Aggregated,4.700000,0.000000,2200,3100,4000,4400,4400,4400,4400,4400,4400,4400,4400,87,0,2200.0,2429.536534357052,371.200117006083,4436.164633996668,215.0
1736213701,20,,Aggregated,5.000000,0.000000,2400,3300,4000,4300,4400,4400,4400,4400,4400,4400,4400,93,0,2400.0,2498.6322979254696,371.200117006083,4436.164633996668,215.0
1736213702,20,,Aggregated,5.300000,0.000000,2600,3300,4100,4300,4400,4400,4400,4400,4400,4400,4400,99,0,2600.0,2561.417683869491,371.200117006083,4436.164633996668,215.0
1736213703,20,,Aggregated,5.700000,0.000000,2700,3300,4300,4300,4400,4400,4400,4400,4400,4400,4400,104,0,2600.0,2618.7088426545065,371.200117006083,4436.164633996668,215.0
1736213704,20,,Aggregated,5.700000,0.000000,2700,3300,4300,4300,4400,4400,4400,4400,4400,4400,4400,109,0,2700.0,2660.0855686612385,371.200117006083,4436.164633996668,215.0
1736213705,20,,Aggregated,5.600000,0.000000,2700,3600,4300,4300,4400,4400,4400,4400,4400,4400,4400,115,0,2700.0,2713.1123606352207,371.200117006083,4436.164633996668,215.0
1736213706,20,,Aggregated,5.600000,0.000000,2900,3600,4300,4400,4400,4400,4400,4400,4400,4400,4400,121,0,2900.0,2758.778597281386,371.200117006083,4436.164633996668,215.0
1736213707,20,,Aggregated,5.700000,0.000000,2900,3600,4300,4400,4400,4400,4400,4400,4400,4400,4400,127,0,2900.0,2798.225964354576,371.200117006083,4436.164633996668,215.0
1736213708,20,,Aggregated,5.500000,0.000000,2900,4000,4300,4300,4400,4400,4400,4400,4400,4400,4400,132,0,2900.0,2833.292400992584,371.200117006083,4436.164633996668,215.0
1736213709,20,,Aggregated,5.500000,0.000000,2900,4000,4300,4300,4400,4400,4400,4400,4400,4400,4400,137,0,2900.0,2855.3976391826204,371.200117006083,4436.164633996668,215.0
1736213710,20,,Aggregated,5.600000,0.000000,2900,4000,4300,4300,4400,4400,4400,4400,4400,4400,4400,143,0,2900.0,2885.7995040560672,371.200117006083,4436.164633996668,215.0
1736213711,20,,Aggregated,5.600000,0.000000,2900,4000,4300,4300,4400,4400,4400,4400,4400,4400,4400,149,0,2900.0,2914.697245308827,371.200117006083,4436.164633996668,215.0
1736213712,20,,Aggregated,5.500000,0.000000,2900,4100,4300,4300,4400,4400,4400,4400,4400,4400,4400,154,0,2900.0,2942.5914286624097,371.200117006083,4436.164633996668,215.0
1736213713,20,,Aggregated,5.500000,0.000000,2900,4100,4300,4300,4400,4400,4400,4400,4400,4400,4400,159,0,2900.0,2959.722140138389,371.200117006083,4436.164633996668,215.0
1736213714,20,,Aggregated,5.500000,0.000000,2900,4300,4300,4300,4400,4400,4400,4400,4400,4400,4400,165,0,2900.0,2984.892476757611,371.200117006083,4445.255339000141,215.0
1736213715,20,,Aggregated,5.600000,0.000000,2900,4300,4300,4300,4400,4400,4400,4500,4500,4500,4500,171,0,2900.0,3007.811248894918,371.200117006083,4468.978175005759,215.0
1736213716,20,,Aggregated,5.500000,0.000000,2900,4300,4300,4400,4400,4400,4500,4500,4500,4500,4500,176,0,2900.0,3021.412834346682,371.200117006083,4507.8293239930645,215.0
1736213717,20,,Aggregated,5.400000,0.000000,2900,4300,4300,4400,4400,4400,4500,4500,4500,4500,4500,181,0,2900.0,3044.0148976630658,371.200117006083,4517.152165994048,215.0
1736213718,20,,Aggregated,5.600000,0.000000,2900,4300,4300,4400,4400,4500,4500,4500,4500,4500,4500,187,0,2900.0,3065.359931229987,371.200117006083,4526.529752998613,215.0
1736213719,20,,Aggregated,5.600000,0.000000,2900,4300,4300,4400,4400,4500,4500,4500,4500,4500,4500,193,0,2900.0,3084.887140145353,371.200117006083,4526.529752998613,215.0
1736213720,20,,Aggregated,5.500000,0.000000,2900,4300,4300,4400,4400,4500,4500,4500,4500,4500,4500,199,0,2900.0,3101.4918832213825,371.200117006083,4526.529752998613,215.0
1736213721,20,,Aggregated,5.400000,0.000000,2900,4300,4300,4400,4400,4500,4500,4500,4500,4500,4500,204,0,2900.0,3115.9825693336875,371.200117006083,4526.529752998613,215.0
1736213722,20,,Aggregated,5.500000,0.000000,2900,4300,4300,4400,4400,4500,4500,4500,4500,4500,4500,210,0,2900.0,3126.5867167432416,371.200117006083,4526.529752998613,215.0
1736213723,20,,Aggregated,5.500000,0.000000,2900,4200,4300,4400,4400,4500,4500,4500,4500,4500,4500,216,0,2900.0,3135.6598790512685,371.200117006083,4526.529752998613,215.0
1736213724,20,,Aggregated,5.600000,0.000000,2900,4200,4300,4400,4400,4500,4500,4500,4500,4500,4500,222,0,2900.0,3144.3684382437177,371.200117006083,4526.529752998613,215.0
1736213725,20,,Aggregated,5.500000,0.000000,2900,4100,4300,4300,4400,4500,4500,4500,4500,4500,4500,228,0,2900.0,3152.4611016977456,371.200117006083,4526.529752998613,215.0
